"Storey","IFC Type","Element Name","CompositeKey","EA","SF","LF","CY"
"M1","IFCSLAB","Floor:NW Concrete on Metal Deck:621720","0:7686","1","9679.55","489.12","588.09"
"L3","IFCSLAB","Floor:NW Concrete on Metal Deck:665246","0:13534","1","18183.95","790.56","1104.79"
"L1_35_Low","IFCSLAB","Floor:Concrete 10:670055","0:13806","1","43779.01","945.43","4433.09"
"L1_37_Med","IFCSLAB","Floor:Concrete 10:670327","0:13918","1","67154.23","1199.97","6800.07"
"L1_43_High","IFCSLAB","Floor:Concrete 10:670421","0:13985","1","18425.16","726.36","1865.74"
"L3","IFCSLAB","Floor:NW Concrete on Metal Deck:670566","0:14052","1","11719.72","541.61","712.05"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':671837","0:14319","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673054","0:14396","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673055","0:14441","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673056","0:14486","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673057","0:14531","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673058","0:14576","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673059","0:14621","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673060","0:14666","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673061","0:14711","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673062","0:14756","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673063","0:14801","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673064","0:14846","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673066","0:14891","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673067","0:14936","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':673068","0:14981","1","52.84","8.20","160.51"
